Player_ID,name,minutes,rows,seasons,first_season,last_season,is_alnum,code_by_name
P007533,"PAVELKA, TOMAS",0.0,1,1,2019,2019,False,
P007636,"FERRANDO, LUIS",0.0,1,1,2017,2017,False,
P007645,"RUDAN, MATEJ",0.0,1,1,2020,2020,False,
P007705,"CANKA, ABRAMO",0.0,6,1,2025,2025,False,
P007764,"AYDIN, SERKAN",0.0,1,1,2016,2016,False,
P008000,"STAROVLAH, MILIC",0.0,9,1,2018,2018,False,
P008025,"ARSENOPOULOS, NIKOLAOS",0.0,4,1,2017,2017,False,
P008163,"DEMAHIS, RUDY",13.55,12,1,2021,2021,False,
P008200,"HERUN, VOLODYMYR",0.0,1,1,2017,2017,False,
P008262,"OBIESIE, JOSHUA",0.0,2,1,2021,2021,False,
P008275,"TISMA, BORIS",0.0,4,1,2020,2020,False,
P008823,"SCHILLING, GAVIN",55.25,26,1,2021,2021,False,
P008854,"SAKELLARIOU, EVANGELOS",0.0,1,1,2018,2018,False,
P008923,"BOUTSIELE, JERRY",180.16666666666666,27,1,2021,2021,False,
P008961,"WEBSTER, TAI",263.81666666666666,22,1,2021,2021,False,
P009056,"BONILLA, GAEL",9.883333333333333,2,1,2021,2021,False,
P009088,"HOUINSOU, KYMANY",22.833333333333332,13,2,2020,2021,False,
P009132,"CAICEDO, MICHAEL",95.11666666666666,19,2,2021,2022,False,
P009461,"OIKONOMOPOULOS, SOTIRIOS",0.0,2,1,2021,2021,False,
P009537,"GUSIC, MARKO",0.11666666666666667,3,1,2021,2021,False,
P009553,"WEMBANYAMA, VICTOR",227.35,14,1,2021,2021,False,
P009815,"PAPADAKIS, KONSTANTINOS",0.0,1,1,2019,2019,False,
P010062,"UBAL, AGUSTIN",2.6333333333333333,5,1,2021,2021,False,
P010100,"KLAVZAR, URBAN",22.883333333333333,1,1,2021,2021,False,
P010107,"GARUBA, SEDIQ",16.066666666666666,3,1,2021,2021,False,
P010182,"SARGIUNAS, TITAS",0.0,4,1,2021,2021,False,
P010327,"SARANOVIC, NIKOLA",0.0,1,1,2020,2020,False,
P010356,"CHRISTIDIS, VASILEIOS",0.0,5,3,2019,2021,False,
P010387,"PERSIDIS, NIKOLAOS",0.0,2,1,2020,2020,False,
P010394,"KNIGHT, MARCOS",375.8833333333333,17,1,2021,2021,False,
P010413,"PERRY, KENDRICK",316.1166666666667,19,1,2021,2021,False,
P010428,"FAYE, IBRAHIMA",106.66666666666667,26,1,2021,2021,False,
P010467,"FLOYD, JEHYVE",286.93333333333334,27,1,2021,2021,False,
P010549,"GRAY, ROB",82.58333333333334,15,1,2021,2021,False,
P010683,"PETERS, LAMAR",260.8,15,1,2021,2021,False,
P010771,"SHASHKOV, ALEXANDER",0.0,2,1,2020,2020,False,
P010782,"VUJICIC, MILUTIN",0.0,2,1,2020,2020,False,
P010807,"EFEOGLU, KARAHAN",0.0,2,1,2022,2022,False,
P010857,"MILLER, BABA",1.9,1,1,2021,2021,False,
P010988,"VUDRAGOVIC, LUKA",0.0,1,1,2021,2021,False,
P011200,"MUDIAY, EMMANUEL",96.05,5,1,2021,2021,False,
P011206,"DANIELS, TROY",287.46666666666664,30,1,2021,2021,False,
P011223,"FRANKAMP, CONNER",255.91666666666669,18,1,2021,2021,False,
P011235,"MUOSA, ZAYD",0.0,3,1,2021,2021,False,
