season,club,side,pc,e_lp,e_scored,ppm_true,avail_true
2025,MUN,cap_shape,12788,15.37598,15.37598,0.6901225504037949,1.0
2025,MUN,cap_shape,3941,18.918421,18.918421,0.9197357231634721,0.9210526315789473
2025,MUN,cap_shape,5670,0.0,0.0,0.14527845036319612,0.18421052631578946
2025,MUN,cap_shape,7027,28.016479,26.94736842105263,0.6443699892305852,0.8421052631578947
2025,MUN,cap_shape,9513,7.7683179,7.7683179,0.28148432993655065,0.6842105263157895
2025,MUN,club,11244,14.657894736842106,14.657894736842106,0.4865350089766607,0.9210526315789473
2025,MUN,club,11836,21.794298245614034,21.794298245614034,0.4093296572820028,0.9736842105263158
2025,MUN,club,12597,3.8649122807017546,3.8649122807017546,0.3404448479346346,0.23684210526315788
2025,MUN,club,1288,20.121491228070177,20.121491228070177,0.460361401137825,0.868421052631579
2025,MUN,club,13290,18.814035087719294,18.814035087719294,0.4070309585975382,0.9736842105263158
2025,MUN,club,13378,12.82236842105263,12.82236842105263,0.3160595177013853,0.8421052631578947
2025,MUN,club,13383,16.052631578947366,16.052631578947366,0.3344262295081967,0.9473684210526315
2025,MUN,club,13386,11.407456140350877,11.407456140350877,0.493675266253989,0.7368421052631579
2025,MUN,club,14162,6.676754385964914,6.676754385964914,0.4256716810089995,0.2894736842105263
2025,MUN,club,1557,11.132017543859648,11.132017543859648,0.2789488199834522,0.8421052631578947
2025,MUN,club,4508,24.487719298245608,24.487719298245608,0.4524287147155753,0.9210526315789473
2025,MUN,club,4512,1.5258771929824562,1.5258771929824562,-0.0689853406151192,0.23684210526315788
2025,MUN,club,4863,9.238596491228073,9.238596491228073,0.4130269654386631,0.5
2025,MUN,club,6085,8.785087719298243,8.785087719298243,0.6679980029955068,0.42105263157894735
2025,MUN,club,7201,7.871052631578948,7.871052631578948,0.4847876964226011,0.6052631578947368
2025,MUN,club,9513,11.405701754385966,11.405701754385966,0.2814843299365506,0.6842105263157895
2025,OLY,cap_noshape,11196,26.669815,26.669815,0.7660149215333163,0.868421052631579
2025,OLY,cap_noshape,11218,27.346757,0.8421052631578947,0.0,0.02631578947368421
2025,OLY,cap_noshape,12201,27.231543,27.231543,0.6992419399031876,0.8947368421052632
2025,OLY,cap_noshape,12608,0.62427652,0.62427652,0.4755902865305437,0.9736842105263158
2025,OLY,cap_noshape,12712,27.800978,27.800978,0.5083445560082508,1.0
2025,OLY,cap_noshape,3469,28.13899,28.13899,0.8148877714996631,0.8947368421052632
2025,OLY,cap_noshape,3941,24.111584,24.111584,0.9197357231634721,0.9210526315789473
2025,OLY,cap_noshape,5713,0.0,0.0,0.3345454545454545,0.6842105263157895
2025,OLY,cap_noshape,5791,5.6186018,5.6186018,0.6781448969596504,1.0
2025,OLY,cap_noshape,5928,4.6289669,4.6289669,0.5987525987525986,1.0
2025,OLY,cap_noshape,6482,0.0,0.0,0.07560642654625643,0.3684210526315789
2025,OLY,cap_noshape,8987,27.828489,25.263157894736842,0.6118995510029106,0.7894736842105263
2025,OLY,cap_shape,11196,26.669815,26.669815,0.7660149215333163,0.868421052631579
2025,OLY,cap_shape,11218,27.346757,0.8421052631578947,0.0,0.02631578947368421
2025,OLY,cap_shape,12201,18.918421,18.918421,0.6992419399031876,0.8947368421052632
2025,OLY,cap_shape,12608,10.842357,10.842357,0.4755902865305437,0.9736842105263158
2025,OLY,cap_shape,12712,22.776792,22.776792,0.5083445560082508,1.0
2025,OLY,cap_shape,3469,28.13899,28.13899,0.8148877714996631,0.8947368421052632
2025,OLY,cap_shape,3941,17.959649,17.959649,0.9197357231634721,0.9210526315789473
2025,OLY,cap_shape,5791,11.770536,11.770536,0.6781448969596504,1.0
2025,OLY,cap_shape,5942,0.0,0.0,0.07451102142191866,0.3684210526315789
2025,OLY,cap_shape,6835,0.53140466,0.53140466,0.5603027949027322,0.9210526315789473
2025,OLY,cap_shape,7230,13.571491,10.947368421052632,0.41874698019004675,0.34210526315789475
2025,OLY,cap_shape,8987,21.473787,21.473787,0.6118995510029106,0.7894736842105263
2025,OLY,club,10392,0.5508771929824561,0.5508771929824561,0.0,0.18421052631578946
2025,OLY,club,11196,13.63859649122807,13.63859649122807,0.7660149215333162,0.868421052631579
2025,OLY,club,11218,0.05307017543859649,0.05307017543859649,0.0,0.02631578947368421
