a,b,ratio,sd_q,sd_lb,b_budget,drop_DUB,drop_HTA,sd_qz
IST,MCO,0.6756714223442388,9.537988430131625,0.44763452001412024,0.42693847305634464,0,0,-0.14616511240028374
IST,MIL,0.6598122553704732,9.57649788345536,0.44763452001412024,0.44140458041857883,0,0,-0.07970705606859452
IST,MUN,0.696533270834327,9.115798073376217,0.44035148920910056,0.42061087612524795,0,0,-0.8747641469301589
IST,OLY,0.6983555017311803,8.395556243953136,0.42558341676564515,0.42978524385612726,0,0,-2.1177283528836055
IST,PAM,0.5515824783904051,9.497333515473144,0.44272181397954785,0.5496216670683446,0,0,-0.21632571909131734
IST,PAN,0.6533409689694677,9.583885101504682,0.40750537138891707,0.4384622830359878,0,0,-0.06695849406930657
IST,PAR,0.6218683456548644,9.202187571932884,0.4470471430111446,0.4530856922192967,0,0,-0.7256766459137087
IST,PRS,0.7246338286817523,9.602610587005591,0.43369662010962023,0.3582986646080271,0,0,-0.03464280888427188
IST,RED,0.6811709668231478,9.58592114586408,0.4433936430869997,0.4222526682935996,0,0,-0.06344477109865845
IST,TEL,0.6787486538480259,9.61101845489549,0.44160563091901606,0.41878961159596834,0,0,-0.02013285068884126
IST,ULK,0.7705735654639037,9.425767717878095,0.4433936430869997,0.3112255218364882,0,0,-0.33983107680208513
IST,VIR,0.7088808384377137,9.56122068421268,0.4336966201096202,0.38978560249227506,0,0,-0.10607182835775897
IST,ZAL,0.5659002886668387,9.484248931163577,0.4389475729693733,0.5168979076772667,0,0,-0.2389065652490575
MAD,MCO,0.800906721127333,9.489008710494176,0.4428969549031082,0.32972311353871125,0,0,-0.2306923306760536
MAD,MIL,0.7965801449186823,9.602250515647624,0.4428969549031082,0.33410717370371934,0,0,-0.03526420546422449
MAD,MUN,0.8142813558173206,9.22956115781701,0.43592501253608307,0.33254395676601556,0,0,-0.6784364190168414
MAD,OLY,0.8311941616037631,8.188867746455887,0.4201733525884517,0.3393452876962932,0,0,-2.474422998593314
MAD,PAM,0.714400899003169,9.437130382326242,0.43827179335151023,0.4254021560841867,0,0,-0.32022185026685507
MAD,PAN,0.8059961631721362,9.552376403312218,0.4016755327053201,0.322114742759808,0,0,-0.12133493046816732
MAD,PAR,0.7834233754664298,9.304466596239005,0.44227274740453326,0.3301637038633643,0,0,-0.5491676442993728
MAD,PRS,0.8369044087120854,9.583072630363459,0.42930713129423176,0.2600668789907824,0,0,-0.06836062388967541
MAD,RED,0.8077281799328965,9.55544868393241,0.43846606196033805,0.32407943585431254,0,0,-0.11603291288804245
MAD,TEL,0.8018740524720225,9.60730280249753,0.43716772911995316,0.3203806880170833,0,0,-0.026545173250178678
MAD,ULK,0.8611837953380025,9.492029713388616,0.43846606196033805,0.23595402945767505,0,0,-0.22547880612017043
MAD,VIR,0.8272773445021304,9.593089612380258,0.42930713129423176,0.2899051198133098,0,0,-0.051073721643893046
MAD,ZAL,0.7267192189146098,9.420856558734542,0.4345317490496099,0.3936439433035336,0,0,-0.3483065565309804
MCO,MIL,0.7882770297503243,10.084478668133045,0.45063957451698117,0.3329625177432358,0,0,0.7969456276171951
MCO,MUN,0.8054836325468848,9.705780878873732,0.44297086277872355,0.33117518095205345,0,0,0.14340430622509026
MCO,OLY,0.8164187924113222,8.816068974442853,0.42921432977937646,0.3354504400062333,0,0,-1.3920244978809888
MCO,PAM,0.7062472271330786,9.95194447315413,0.4453802231689796,0.4258405368382151,0,0,0.5682234766757539
MCO,PAN,0.7958436048422572,10.053317476660139,0.4114912863234027,0.3198544518988628,0,0,0.7431689042537262
MCO,PAR,0.7760768251773761,9.78000583706755,0.45009014295333694,0.3295778560514927,0,0,0.2714987356991567
MCO,PRS,0.830267861696439,10.079107438033414,0.43623813895358304,0.26051250238887075,0,0,0.7876761760482299
MCO,RED,0.7990079508049491,10.055944372031826,0.4465878206138736,0.3227025275454917,0,0,0.7477022939936798
MCO,TEL,0.7939033414460118,10.097658553296402,0.4442445239408575,0.32032243062361154,0,0,0.8196909401322315
MCO,ULK,0.8561101817919805,9.968204694664447,0.4465878206138736,0.23467990850943002,0,0,0.5962847090182117
MCO,VIR,0.8198315313647905,10.074027972414115,0.43623813895358304,0.28945969574057506,0,0,0.7789102398137042
MCO,ZAL,0.7185623788063318,9.937393916063549,0.4415474343564489,0.3950399073740518,0,0,0.5431127140104394
MIL,MUN,0.8009785153217277,9.749318624241324,0.44297086277872355,0.3350923990065298,0,0,0.21853998550545065
MIL,OLY,0.8116583339865183,8.95509149072101,0.42921432977937646,0.3399439433337792,0,0,-1.1521050645793387
MIL,PAM,0.7064206362910049,10.04182436874395,0.4453802231689796,0.42529175820778536,0,0,0.723334563659503
MIL,PAN,0.7859472836047193,10.134503005095382,0.4114912863234027,0.3292994180194464,0,0,0.8832756042037329
MIL,PAR,0.7675317988274967,9.826123971980408,0.45009014295333694,0.3375933968752572,0,0,0.3510875468460049
MIL,PRS,0.826673923095398,10.156781499579102,0.43623813895358304,0.26539598920970114,0,0,0.9217229285253097
MIL,RED,0.7932802749830975,10.136823174892989,0.4465878206138736,0.3283308874124394,0,0,0.8872796593590255
MIL,TEL,0.7903980021820456,10.170800335125014,0.4442445239408575,0.32424395447410453,0,0,0.9459160676639702
MIL,ULK,0.851776762319115,10.022849668690018,0.4465878206138736,0.23819544050121383,0,0,0.6905887940828718
