Season,Player_ID,games_bx,minutes_bx,pir_bx
2016,PLHK      ,30,480.4666666666667,292
2016,PLIM      ,19,11.816666666666666,-1
2016,PLKX      ,30,367.18333333333334,91
2016,PLLH      ,35,452.18333333333334,176
2016,PLLM      ,25,201.25,29
2016,PLOO      ,20,79.25,20
2016,PLQV      ,22,71.75,12
2016,PLRU      ,30,800.7,350
2016,PLSK      ,29,474.71666666666664,82
2016,PLUO      ,30,703.95,120
2016,PTFH      ,19,291.1,143
2016,PTGB      ,33,919.5833333333334,556
2017,P000046   ,34,675.2666666666667,241
2017,P000129   ,11,87.98333333333333,-3
2017,P000229   ,9,131.01666666666665,48
2017,P000399   ,35,461.6,180
2017,P000436   ,28,515.9166666666666,148
2017,P000464   ,32,562.1166666666667,185
2017,P000494   ,24,68.45,13
2017,P000518   ,20,440.2,177
2017,P000529   ,29,799.1,326
2017,P000556   ,25,383.95,130
2017,P000577   ,11,36.06666666666667,-2
2017,P000848   ,24,601.95,400
2017,P000925   ,34,904.85,546
2017,P001133   ,33,842.25,601
2017,P001255   ,28,674.6,315
2017,P001324   ,27,236.83333333333334,130
2017,P001351   ,29,446.8833333333333,202
2017,P001386   ,23,333.45,185
2017,P001392   ,36,652.7166666666667,260
2017,P001438   ,29,672.0166666666667,417
2017,P001612   ,32,282.05,74
2017,P001792   ,32,103.71666666666667,7
2017,P001832   ,3,40.55,7
2017,P001833   ,30,666.7666666666667,249
2017,P001844   ,27,623.4833333333333,306
2017,P001926   ,35,868.8333333333334,445
2017,P001932   ,31,897.55,574
2017,P001933   ,26,118.15,10
2017,P001948   ,16,304.1666666666667,187
2017,P001960   ,36,573.6666666666666,254
2017,P001988   ,10,239.04999999999998,50
2017,P002008   ,14,307.2,134
2017,P002091   ,32,591.2,185
2017,P002100   ,32,825.1166666666667,606
2017,P002276   ,11,46.13333333333333,31
2017,P002329   ,35,950.5166666666667,382
2017,P002361   ,16,295.3333333333333,83
2017,P002429   ,31,725.2166666666667,201
2017,P002506   ,30,290.35,68
2017,P002507   ,29,519.4,359
2017,P002543   ,19,228.93333333333334,68
2017,P002553   ,17,219.48333333333335,73
2017,P002561   ,15,110.1,17
2017,P002580   ,36,805.6833333333334,308
2017,P002582   ,34,519.9833333333333,198
2017,P002742   ,24,485.26666666666665,320
2017,P002744   ,12,161.45,31
2017,P002763   ,30,667.5333333333333,230
2017,P002812   ,31,674.35,375
2017,P002820   ,29,446.2166666666667,119
2017,P002822   ,27,500.03333333333336,152
2017,P002849   ,36,953.65,432
2017,P002936   ,18,379.3666666666667,113
2017,P002969   ,34,141.93333333333334,13
2017,P002972   ,30,781.3,431
2017,P002980   ,34,862.95,356
2017,P003024   ,31,672.1666666666666,350
2017,P003034   ,30,486.5,273
2017,P003048   ,30,845.4166666666666,466
2017,P003067   ,24,498.34999999999997,223
2017,P003120   ,29,597.0833333333334,447
2017,P003198   ,27,312.31666666666666,117
2017,P003210   ,31,392.84999999999997,140
2017,P003264   ,27,131.1,64
2017,P003443   ,7,182.45,82
2017,P003469   ,18,151.9,68
2017,P003479   ,2,9.533333333333333,1
2017,P003514   ,14,392.81666666666666,135
2017,P003515   ,10,113.75,-1
2017,P003521   ,17,264.1166666666667,51
2017,P003527   ,20,47.6,7
2017,P003537   ,31,612.5833333333334,127
2017,P003540   ,27,237.86666666666667,90
2017,P003571   ,7,33.33333333333333,3
2017,P003573   ,21,154.36666666666667,38
2017,P003608   ,27,504.8,124
2017,P003703   ,30,354.55,81
2017,P003733   ,27,478.5,172
2017,P003842   ,30,632.9666666666667,321
2017,P003941   ,29,630.25,407
2017,P003945   ,5,16.716666666666665,-2
2017,P004004   ,36,597.5833333333334,257
2017,P004007   ,27,395.4,158
2017,P004094   ,29,34.06666666666666,9
2017,P004117   ,26,596.0666666666667,256
2017,P004119   ,30,599.3833333333333,328
2017,P004159   ,28,667.8666666666667,271
2017,P004161   ,24,72.0,11
2017,P004165   ,34,759.1166666666667,239
2017,P004170   ,24,242.13333333333333,5
2017,P004178   ,30,585.3333333333334,211
2017,P004185   ,21,131.13333333333333,23
2017,P004195   ,30,367.4666666666667,106
2017,P004213   ,30,573.7,110
2017,P004222   ,11,191.01666666666668,118
2017,P004251   ,34,726.6166666666667,359
2017,P004259   ,5,32.766666666666666,9
2017,P004264   ,6,47.11666666666667,14
2017,P004292   ,21,52.93333333333334,12
2017,P004418   ,32,573.15,363
2017,P004425   ,19,388.25,107
2017,P004429   ,8,90.75,19
2017,P004479   ,20,113.1,15
2017,P004499   ,3,1.9666666666666666,0
2017,P004535   ,1,1.2333333333333334,7
2017,P004623   ,1,1.3666666666666667,-2
2017,P004624   ,1,0.0,0
2017,P004628   ,1,0.0,0
2017,P004664   ,34,223.26666666666668,64
2017,P004720   ,4,13.5,2
2017,P004804   ,6,0.0,0
2017,P004866   ,20,331.01666666666665,103
2017,P004887   ,34,609.3833333333333,371
2017,P004888   ,36,953.9666666666667,490
2017,P004903   ,25,653.7666666666667,247
2017,P004941   ,35,465.6166666666667,135
2017,P004974   ,29,760.0,269
2017,P005001   ,15,304.4166666666667,113
2017,P005014   ,34,726.8,150
