player_code,player_name,position
4508,"OBST, ANDREAS",G
4512,"KRATZER, LEON",C
4554,"ZIZIC, ANTE",C
4571,"SISKO, ZAN MARK",G
46,"STRELNIEKS, JANIS",G
4603,"KOTSAR, MAIK",C
464,"PAPPAS, NIKOS",G
4655,"BAKO, ISMAEL",C
4720,"LAZAREVIC, STEFAN",F
4761,"MARINKOVIC, VANJA",G
4790,"CORNELIE, PETR",F
4834,"PUSTOVYI, ARTEM",C
4862,"SEELEY, DENNIS",G
4863,"JOVIC, STEFAN",G
4866,"KALINIC, NIKOLA",F
4884,"LABEYRIE, LOUIS",F
4887,"POIRIER, VINCENT",C
4888,"CLYBURN, WILL",F
494,"GULER, SINAN",G
4941,"ANTONOV, SEMEN",F
4945,"PAUL, BRANDON",G
4974,"ROLL, MICHAEL",G
4997,"DIEBLER, JON",G
5014,"JENKINS, CHARLES",G
5056,"ZIPSER, PAUL",F
5094,"THOMAS, DESHAUN",F
5099,"HANGA, ADAM",F
5145,"COHEN, JAKE",F
5154,"IVERSON, COLTON",C
5159,"GREEN, ERICK",G
5160,"HUNTER, OTHELLO",C
5161,"PAPAPETROU, IOANNIS",F
518,"SAN EMETERIO, FERNANDO",F
5216,"MCCOLLUM, ERRICK",G
5255,"KONIARIS, ANTONIOS",G
529,"MICOV, VLADIMIR",F
5348,"ARNA, EGEHAN",F
5353,"YURTSEVEN, OMER",C
5356,"LOPEZ-AROSTEGUI, XABI",F
5368,"YUSTA, SANTI",F
5458,"GARCIA, SERGI",G
5460,"HARRIS, ELIAS",F
5478,"WIMBERG, NIKLAS",F
5504,"BIRUTIS, LAURYNAS",C
5553,"LOMAZS, RIHARDS",G
556,"CLAVER, VICTOR",F
5618,"SIMANIC, BORISA",F
5670,"FLACCADORI, DIEGO",G
5683,"RADANOV, ALEKSA",F
5686,"GECIM, TOLGA",G
5692,"BURNS, CHRISTIAN",F
5713,"KURUCS, RODIONS",F
5718,"TIMMA, JANIS",F
5757,"RANDOLPH, ANTHONY",F
5763,"KORKMAZ, FURKAN",G
5771,"CALOIARO, ANGELO",F
5775,"BARON, BILLY",G
5781,"KANE, DEANDRE",G
5789,"KURIC, KYLE",G
5791,"TAVARES, WALTER",C
5836,"THOMPKINS, TREY",F
5844,"PAPAGIANNIS, GEORGIOS",C
5856,"THOMAS, WILL",F
5884,"DELLA VALLE, AMEDEO",G
5917,"ORIOLA, PIERRE",F
5927,"AYON, GUSTAVO",C
5928,"CAMPAZZO, FACUNDO",G
5938,"ANDERSON, JAMES",F
5942,"DANGUBIC, NEMANJA",F
5945,"RENFROE, ALEX",G
5985,"JAMES, MIKE",G
6068,"NOUA, AMINE",F
6085,"DIMITRIJEVIC, NENO",G
6135,"LOPATIN, ANDREI",F
6158,"LUKOSIUNAS, KAROLIS",G
6240,"PLAVSIC, UROS",C
6251,"SCHNEIDER, TIM",F
6302,"LOUNTZIS, MICHALIS",G
6372,"YILMAZ, ERKAN",F
6399,"DUVERIOGLU, AHMET",C
6433,"PANGOS, KEVIN",G
6435,"LAPROVITTOLA, NICOLAS",G
6436,"GIEDRAITIS, ROKAS",F
6450,"HIGGINS, CORY",G
6477,"RUBIT, AUGUSTINE",F
6482,"KRAMER, DAVID",G
6505,"WHITE, AARON",F
6509,"TONUT, STEFANO",G
6533,"COLOM, QUINO",G
6540,"MUSA, DZANAN",F
6543,"RADONCIC, DINO",F
6544,"MORAITIS, DIMITRIS",G
6546,"TAYLOR, JEFFERY",F
6555,"WOLTERS, NATE",G
6568,"FALL, YOUSSOUPHA",C
6586,"KALAITZAKIS, GEORGIOS",F
6589,"SIKMA, LUKE",F
6590,"BEAUBOIS, RODRIGUE",G
