player_code,season,ppm_hat,ppm_sd,gap,ppm_lag_shrunk,ppm_actual
12608,2025,0.8002607769269917,0.06727281231090056,1.0,0.715605012739386,0.4755902865305437
12609,2025,0.4062812972722314,0.08080198755760885,1.0,0.4203194296896231,0.34437315762094683
12610,2025,0.444122331829891,0.06873983174110751,1.0,0.4341794613768034,0.410721779269828
12611,2025,0.34281702754516213,0.10355642079999694,1.0,0.38667794938783656,0.30448266140400343
12612,2025,0.41528889381798356,0.13279995574351702,1.0,0.43814122804046823,0.2530311017395888
12613,2025,0.4144677474902777,0.06995788231625535,1.0,0.4041213129977942,0.2696819787985865
12640,2025,0.5214318516841758,0.07936608720111778,1.0,0.49651702623524663,0.7889466550684765
12710,2025,0.42487775835890357,0.08564815005046456,1.0,0.43669028929307135,0.4649576536122322
12712,2025,0.5565676474207003,0.06709420365841098,1.0,0.5261768836010275,0.5083445560082508
12720,2025,0.45167941079044077,0.06908812861698636,1.0,0.4460350109104302,0.39196221279321103
12731,2025,0.4092631017432658,0.07989146519831816,1.0,0.4156995155095661,0.4334038054968288
12738,2025,0.27971758702261407,0.09190374656091084,2.0,0.32953787788140476,0.5998756018337211
12742,2025,0.47941588760743115,0.08444672855503241,1.0,0.48470715568678735,0.3242580042065903
12745,2025,0.47691914128511576,0.06704850765657029,1.0,0.4625750244079887,0.263309851022058
12774,2025,0.6466459354670946,0.06246566209808083,1.0,0.5885814634947575,0.5666225597708858
12788,2025,0.5930935825911622,0.08620871999780345,1.0,0.5685247295864168,0.6901225504037949
12795,2025,0.41850642786105174,0.08096743947294997,1.0,0.4411077267536652,0.2697180220678382
12878,2025,0.4352724684736194,0.09833126326980907,1.0,0.454304910786562,0.7485963817841549
1288,2025,0.4385358762259669,0.07008578274248699,1.0,0.4525257599837522,0.46036140113782503
13363,2025,0.4205526470885325,0.08341772036148855,1.0,0.4315464253153542,0.5947762163767659
13367,2025,0.4791486105596558,0.07049565249425027,1.0,0.46219121494950904,0.6081919735208939
13369,2025,0.6267130990577708,0.06747136074028914,1.0,0.577564296864649,0.5962467337081322
13370,2025,0.410595081024779,0.09293847183870606,1.0,0.42587495797250063,0.5035685963521015
13371,2025,0.29271218733685295,0.08748329947333428,1.0,0.3473385902708762,0.4702594325293153
13373,2025,0.34603975093670375,0.10758223172354218,1.0,0.3940224557780375,0.3256768385516648
13374,2025,0.4784999993368077,0.08890045224878033,1.0,0.47416777830260554,0.564048066704815
13378,2025,0.3637291831376606,0.099307529641407,1.0,0.40946488857161045,0.31605951770138535
13380,2025,0.47080396296115123,0.06940174362115736,1.0,0.4706357063021711,0.3580017242161622
13381,2025,0.3264552241079363,0.10554866248793822,1.0,0.3746279875081583,0.2307776841642551
13382,2025,0.44049729932227744,0.06650255638941681,1.0,0.44133869730245645,0.08595988538681948
13383,2025,0.46146459438814647,0.08575250805701974,1.0,0.46916061397109415,0.3344262295081968
13384,2025,0.4064773418810002,0.09145355189586175,1.0,0.4271414164946219,0.46694423907545035
13385,2025,0.4015307089557137,0.12013454854761983,1.0,0.43195351735485066,0.45056320400500627
13386,2025,0.5269503860349803,0.08752545099812116,1.0,0.5172984717233773,0.493675266253989
13389,2025,0.46022343109429936,0.08011844911089296,1.0,0.4569750471052232,0.47447403266146826
13403,2025,0.48856647831482686,0.07447865296392568,1.0,0.4755368952927571,0.5559772792712613
13667,2025,0.4219617210169135,0.0936519806559481,1.0,0.44106364531945885,0.5634315740186769
