budget_m,budget_rel,q,q_pred,n,spent_rel,used_pct,usage_w,marginal,marginal_pred,capped,season
26.0,26.0,127.32548918887946,133.88329780925244,12,25.776652827792276,0.9914097241458568,24.638853400279025,5.2207196825672355,0.023668438228298783,False,2024
27.0,27.0,135.012762957323,134.0451711266936,12,26.814903856366726,0.9931445872728417,24.473063425864765,7.687273768443532,0.16187331744114886,False,2024
28.0,28.0,130.28273025371035,134.21606773722615,12,27.677422716999562,0.9884793827499844,24.57258227198191,-4.730032703612636,0.17089661053256577,False,2024
29.0,29.0,125.32034304545545,134.4188688534993,12,28.986265330231753,0.9995263906976466,24.64670454140857,-4.96238720825491,0.20280111627315023,False,2024
30.0,30.0,125.53590606292369,134.44165669951352,12,29.99610890670553,0.9998702968901844,24.64670454140857,0.21556301746824147,0.0227878460142108,False,2024
31.0,31.0,125.58424848399676,134.46080385935284,13,30.724927347880843,0.9911266886413175,24.64670454140857,0.04834242107307318,0.019147159839320693,False,2024
32.0,32.0,125.78084162672262,134.47306496786348,14,31.4163866967209,0.9817620842725281,24.64670454140857,0.1965931427258596,0.01226110851064277,False,2024
33.0,33.0,125.78084162672262,134.47306496786348,14,31.4163866967209,0.9520117180824514,24.64670454140857,0.0,0.0,False,2024
34.0,34.0,125.78084162672262,134.47306496786348,14,31.4163866967209,0.9240113734329676,24.64670454140857,0.0,0.0,False,2024
35.0,35.0,125.78084162672262,134.47306496786348,14,31.4163866967209,0.89761104847774,24.64670454140857,0.0,0.0,False,2024
36.0,36.0,125.78084162672262,134.47306496786348,14,31.4163866967209,0.8726774082422472,24.64670454140857,0.0,0.0,False,2024
37.0,37.0,125.78084162672262,134.47306496786348,14,31.4163866967209,0.8490915323438081,24.64670454140857,0.0,0.0,False,2024
38.0,38.0,125.78084162672262,134.47306496786348,14,31.4163866967209,0.8267470183347605,24.64670454140857,0.0,0.0,False,2024
39.0,39.0,125.78084162672262,134.47306496786348,14,31.4163866967209,0.8055483768389974,24.64670454140857,0.0,0.0,False,2024
40.0,40.0,125.78084162672262,134.47306496786348,14,31.4163866967209,0.7854096674180224,24.64670454140857,0.0,0.0,False,2024
10.0,10.0,84.94855052629819,99.78900041979546,12,9.927461879059473,0.9927461879059474,19.843529632535716,,,True,2025
11.0,11.0,95.86106804226826,104.03235853819133,12,10.977683715572711,0.9979712468702465,20.000000014971132,10.912517515970066,4.243358118395875,True,2025
12.0,12.0,109.72447711079859,108.34122208391652,12,11.99695353853139,0.9997461282109491,19.999999951343028,13.86340906853033,4.308863545725188,True,2025
13.0,13.0,115.54005836881966,112.04778430178746,12,12.996204338556698,0.9997080260428229,19.999999948444046,5.815581258021069,3.706562217870939,True,2025
14.0,14.0,114.15278569859738,114.41530370609833,12,13.983970919149693,0.9988550656535494,19.99999999365465,-1.3872726702222735,2.367519404310869,True,2025
15.0,15.0,118.6356422890349,116.99977736437428,12,14.971997928064386,0.9981331952042924,19.999999986314613,4.482856590437521,2.5844736582759538,True,2025
16.0,16.0,118.92979038058233,120.79887806349575,12,15.944452330444879,0.9965282706528049,19.999999960228493,0.29414809154742727,3.7991006991214675,True,2025
17.0,17.0,114.90075276531658,120.44597171217755,12,16.847783106425773,0.9910460650838689,20.000000032021866,-4.02903761526575,-0.3529063513181967,True,2025
18.0,18.0,108.30682314528147,122.1590133983735,12,17.996546238322303,0.999808124351239,19.999999974482012,-6.593929620035112,1.7130416861959503,True,2025
19.0,19.0,120.48870126983832,123.84036246789154,12,18.969105283280047,0.9983739622778972,19.99999997175255,12.181878124556846,1.6813490695180349,True,2025
20.0,20.0,115.1732889301202,124.42114687526276,12,19.974782043387428,0.9987391021693715,20.000000027283832,-5.315412339718122,0.580784407371226,True,2025
21.0,21.0,119.83507192050747,126.58110165210229,12,20.809694812835836,0.990937848230278,19.999999975464675,4.66178299038728,2.159954776839527,True,2025
